,Date,FTSE,NASDAQ,HANG,SP500,DAX
250,06/12/2021,7232.28,15225.15,23349.38,4591.67,15380.79
251,03/12/2021,7122.32,15085.47,23766.69,4538.43,15169.98
252,02/12/2021,7129.21,15381.32,23788.93,4577.1,15263.11
253,01/12/2021,7168.68,15254.05,23658.92,4513.04,15472.67
254,30/11/2021,7059.45,15537.69,23475.26,4567.0,15100.13
255,29/11/2021,7109.95,15782.83,23852.24,4655.27,15280.86
256,26/11/2021,7044.03,15491.66,24080.52,4594.62,15257.04
257,24/11/2021,7286.32,15845.23,24685.5,4701.46,15878.39
258,23/11/2021,7266.69,15775.14,24651.58,4690.7,15937.0
259,22/11/2021,7255.46,15854.76,24951.34,4682.95,16115.69
260,19/11/2021,7223.57,16057.44,25049.97,4697.96,16159.97
261,18/11/2021,7255.96,15993.71,25319.72,4706.64,16221.73
262,17/11/2021,7291.2,15921.57,25650.08,4688.67,16251.13
263,16/11/2021,7326.97,15973.86,25713.78,4700.9,16247.86
264,15/11/2021,7351.86,15853.85,25390.91,4682.81,16148.64
265,12/11/2021,7347.91,15860.96,25327.97,4682.85,16094.07
266,11/11/2021,7384.18,15704.28,25247.99,4649.27,16083.11
267,10/11/2021,7340.15,15622.71,24996.14,4646.71,16067.83
268,09/11/2021,7274.04,15886.54,24813.13,4685.25,16040.47
269,08/11/2021,7300.4,15982.36,24763.77,4701.7,16046.52
270,05/11/2021,7303.96,15971.59,24870.51,4697.53,16054.36
271,04/11/2021,7279.91,15940.31,25225.19,4680.06,16029.65
272,03/11/2021,7248.89,15811.58,25024.75,4660.57,15959.98
273,02/11/2021,7274.81,15649.6,25099.67,4630.65,15954.45
274,01/11/2021,7288.62,15595.92,25154.32,4613.67,15806.29
275,29/10/2021,7237.57,15498.39,25377.24,4605.38,15688.77
276,28/10/2021,7249.47,15448.12,25555.73,4596.42,15696.33
277,27/10/2021,7253.27,15235.84,25628.74,4551.68,15705.81
278,26/10/2021,7277.62,15235.71,26038.27,4574.79,15757.06
279,25/10/2021,7222.82,15226.71,26132.03,4566.48,15599.23
280,22/10/2021,7204.55,15090.2,26126.93,4544.9,15542.98
281,21/10/2021,7190.3,15215.7,26017.53,4549.78,15472.56
282,20/10/2021,7223.1,15121.68,26136.02,4536.19,15522.92
283,19/10/2021,7217.53,15129.09,25787.21,4519.63,15515.83
284,18/10/2021,7203.83,15021.81,25409.75,4486.48,15474.47
285,15/10/2021,7234.03,14897.34,25330.96,4471.37,15587.36
286,13/10/2021,7141.82,14571.63,25020.34,4363.8,15249.38
287,12/10/2021,7130.23,14465.92,24962.59,4350.64,15146.87
288,11/10/2021,7146.85,14486.2,25325.09,4361.19,15199.14
289,08/10/2021,7095.55,14579.54,24837.85,4391.36,15206.13
290,07/10/2021,7078.04,14654.02,24701.73,4399.76,15250.86
291,06/10/2021,6995.87,14501.91,23966.49,4363.55,14973.33
292,05/10/2021,7077.1,14433.83,24104.15,4345.72,15194.49
293,04/10/2021,7011.01,14255.49,24036.37,4300.46,15036.55
294,30/09/2021,7086.42,14448.58,24575.64,4307.54,15260.69
295,29/09/2021,7108.16,14512.44,24663.5,4359.46,15365.27
296,28/09/2021,7028.1,14546.68,24500.39,4352.63,15248.56
297,27/09/2021,7063.4,14969.97,24208.78,4443.11,15573.88
298,24/09/2021,7051.48,15047.7,24192.16,4455.48,15531.75
299,23/09/2021,7078.35,15052.24,24510.98,4448.98,15643.97
300,21/09/2021,6980.98,14746.4,24221.54,4354.18,15348.53
301,20/09/2021,6903.91,14713.9,24099.14,4357.73,15132.06
302,17/09/2021,6963.64,15043.97,24920.76,4432.99,15490.17
303,16/09/2021,7027.48,15181.92,24667.85,4473.76,15651.75
304,15/09/2021,7016.49,15161.53,25033.21,4480.7,15616.0
305,14/09/2021,7034.06,15037.76,25502.23,4443.05,15722.99
306,13/09/2021,7068.43,15105.58,25813.81,4468.73,15701.42
307,10/09/2021,7029.2,15115.49,26205.91,4458.58,15609.81
308,09/09/2021,7024.21,15248.25,25716.0,4493.28,15623.15
309,08/09/2021,7095.53,15286.64,26320.93,4514.07,15610.28
310,07/09/2021,7149.37,15374.33,26353.63,4520.03,15843.09
311,03/09/2021,7138.35,15363.52,25901.99,4535.43,15781.2
312,02/09/2021,7163.9,15331.18,26090.43,4536.95,15840.59
313,01/09/2021,7149.84,15309.38,26028.29,4524.09,15824.29
314,31/08/2021,7119.7,15259.24,25878.99,4522.68,15835.09
315,27/08/2021,7148.01,15129.5,25407.89,4509.37,15851.75
316,26/08/2021,7124.98,14945.81,25415.69,4469.91,15793.62
317,25/08/2021,7150.12,15041.86,25693.95,4496.19,15860.66
318,24/08/2021,7125.78,15019.8,25727.92,4486.23,15905.85
319,23/08/2021,7109.02,14942.65,25109.59,4479.54,15852.79
320,20/08/2021,7087.9,14714.66,24849.72,4441.67,15808.04
321,19/08/2021,7058.86,14541.79,25316.33,4405.8,15765.81
322,18/08/2021,7169.32,14525.91,25867.01,4400.27,15965.97
323,17/08/2021,7181.11,14656.18,25745.87,4448.08,15921.95
324,16/08/2021,7153.98,14793.76,26181.46,4479.66,15925.73
325,13/08/2021,7218.71,14822.9,26391.62,4468.0,15977.44
326,12/08/2021,7193.23,14816.26,26517.82,4460.84,15937.51
327,11/08/2021,7220.14,14765.13,26660.16,4447.7,15826.09
328,10/08/2021,7161.04,14788.09,26605.62,4436.75,15770.71
329,09/08/2021,7132.3,14860.18,26283.4,4432.35,15745.41
330,06/08/2021,7122.95,14835.76,26179.4,4436.52,15761.45
331,05/08/2021,7120.43,14895.12,26204.69,4429.1,15744.67
332,04/08/2021,7123.86,14780.53,26426.55,4402.68,15692.13
333,03/08/2021,7105.72,14761.29,26194.82,4423.15,15555.08
334,02/08/2021,7081.72,14681.07,26235.8,4387.11,15568.73
335,30/07/2021,7032.3,14672.68,25961.03,4395.26,15544.39
336,29/07/2021,7078.42,14778.26,26315.32,4419.15,15640.47
337,28/07/2021,7016.63,14762.58,25473.88,4400.65,15570.36
338,27/07/2021,6996.08,14660.58,25086.43,4401.46,15519.13
339,26/07/2021,7025.43,14840.71,26192.32,4422.23,15618.98
340,23/07/2021,7027.58,14836.99,27321.98,4411.8,15669.29
341,22/07/2021,6968.3,14684.6,27723.84,4367.48,15514.54
342,21/07/2021,6998.28,14631.95,27224.58,4358.69,15422.5
343,20/07/2021,6881.13,14498.88,27259.25,4323.21,15216.27
344,19/07/2021,6844.39,14274.98,27489.78,4258.63,15133.2
345,16/07/2021,7008.09,14427.24,28004.68,4327.16,15540.31
346,15/07/2021,7012.02,14543.13,27996.27,4360.03,15629.66
347,14/07/2021,7091.19,14644.95,27787.46,4374.3,15788.98
348,13/07/2021,7124.72,14677.65,27963.41,4369.21,15789.64
349,12/07/2021,7125.42,14733.24,27515.24,4384.63,15790.51
350,09/07/2021,7121.88,14701.92,27344.54,4369.55,15687.93
351,08/07/2021,7030.66,14559.79,27153.13,4320.82,15420.64
352,07/07/2021,7151.02,14665.06,27960.62,4358.13,15692.71
353,06/07/2021,7100.88,14663.64,28072.86,4343.54,15511.38
354,02/07/2021,7123.27,14639.33,28310.42,4352.34,15650.09
355,30/06/2021,7037.47,14503.95,28827.95,4297.5,15531.04
356,29/06/2021,7087.55,14528.33,28994.1,4291.8,15690.59
357,28/06/2021,7072.97,14500.51,29268.3,4290.61,15554.18
358,25/06/2021,7136.07,14360.39,29288.22,4280.7,15607.97
359,24/06/2021,7109.97,14369.71,28882.46,4266.49,15589.23
360,23/06/2021,7074.06,14271.73,28817.07,4241.84,15456.39
361,22/06/2021,7090.01,14253.27,28309.76,4246.44,15636.33
362,21/06/2021,7062.29,14141.48,28489.0,4224.79,15603.24
363,18/06/2021,7017.47,14030.38,28801.27,4166.45,15448.04
364,17/06/2021,7153.43,14161.35,28558.59,4221.86,15727.67
365,16/06/2021,7184.95,14039.68,28436.84,4223.7,15710.57
366,15/06/2021,7172.48,14072.86,28638.53,4246.59,15729.52
367,11/06/2021,7134.06,14069.42,28842.13,4247.44,15693.27
368,10/06/2021,7088.18,14020.33,28738.88,4239.18,15571.22
369,09/06/2021,7081.01,13911.75,28742.63,4219.55,15581.14
370,08/06/2021,7095.09,13924.91,28781.38,4227.26,15640.6
371,07/06/2021,7077.22,13881.72,28787.28,4226.52,15677.15
372,04/06/2021,7069.04,13814.49,28918.1,4229.89,15692.9
373,03/06/2021,7064.35,13614.51,28966.03,4192.85,15632.67
374,02/06/2021,7108.0,13756.33,29297.62,4208.12,15602.71
375,01/06/2021,7080.46,13736.48,29468.0,4202.04,15567.36
376,28/05/2021,7022.61,13748.74,29124.41,4204.11,15519.98
377,27/05/2021,7019.67,13736.28,29113.2,4200.88,15406.73
378,26/05/2021,7026.93,13738.0,29166.01,4195.99,15450.72
379,25/05/2021,7029.79,13657.17,28910.86,4188.13,15465.09
380,21/05/2021,7018.05,13470.99,28458.44,4155.86,15437.51
381,20/05/2021,7019.79,13535.74,28450.29,4159.12,15370.26
382,18/05/2021,7034.24,13303.64,28593.81,4127.83,15386.58
383,17/05/2021,7032.85,13379.05,28194.09,4163.29,15396.62
384,14/05/2021,7043.61,13429.98,28027.57,4173.85,15416.64
385,13/05/2021,6963.33,13124.99,27718.67,4112.5,15199.68
386,12/05/2021,7004.63,13031.68,28231.04,4063.04,15150.22
387,11/05/2021,6947.99,13389.43,28013.81,4152.1,15119.75
388,10/05/2021,7123.68,13401.86,28595.66,4188.43,15400.41
389,07/05/2021,7129.71,13752.24,28610.65,4232.6,15399.65
390,06/05/2021,7076.17,13632.84,28637.46,4201.62,15196.74
391,05/05/2021,7039.3,13582.42,28417.98,4167.59,15170.78
392,04/05/2021,6923.17,13633.5,28557.14,4164.66,14856.48
393,30/04/2021,6969.81,13962.68,28724.88,4181.17,15135.91
394,29/04/2021,6961.48,14082.55,29303.26,4211.47,15154.2
395,28/04/2021,6963.67,14051.03,29071.34,4183.18,15292.18
396,27/04/2021,6944.97,14090.22,28941.54,4186.72,15249.27
397,26/04/2021,6963.12,14138.78,28952.83,4187.62,15296.34
398,23/04/2021,6938.56,14016.81,29078.75,4180.17,15279.62
399,22/04/2021,6938.24,13818.41,28755.34,4134.98,15320.52
400,21/04/2021,6895.29,13950.22,28621.92,4173.42,15195.97
401,20/04/2021,6859.87,13786.27,29135.73,4134.94,15129.51
402,19/04/2021,7000.08,13914.77,29106.15,4163.26,15368.39
403,16/04/2021,7019.53,14052.34,28969.71,4185.47,15459.75
404,15/04/2021,6983.5,14038.76,28793.14,4170.42,15255.33
405,14/04/2021,6939.58,13857.84,28900.83,4124.66,15209.15
406,13/04/2021,6890.49,13996.1,28497.25,4141.59,15234.36
